,name
787,SAP Fioneer
788,SCB Tech X Company Limited
789,SCOUT
790,SESAMm
791,SGS
792,SIXT
793,SMART Technologies
794,SMRS
795,SOMFY Group
796,SOPHiA GENETICS
797,SSENSE
798,STEMBoard
799,STOW Group
800,SWORD Health
801,Salary Finance
802,Samsara
803,Samsung Research America
804,Sand Cherry Associates
805,Sayari
806,Scale AI
807,Schonfeld
808,Schrödinger
809,"Scientific Systems Company, Inc."
810,Scorpion Therapeutics
811,Seamless.AI
812,Second Spectrum
813,Security Bank
814,SecurityScorecard
815,Seldon
816,Self Financial
817,SendBird
818,Sensor Tower
819,SentinelOne
820,Sertis
821,ServiceNow
822,Sewan
823,Sezzle
824,Shape
825,Shape Therapeutics
826,Shield
827,Shield AI
828,Shift Technology
829,Shippeo
830,ShopBack
831,Shopify
832,ShopriteX
833,Showroomprive.com
834,Sia Partners
835,Sigma Defense
836,Sigma Software
837,Signal Group
838,Silverbird
839,Silverline
840,Similarweb
841,Simple Machines
842,Simpplr
843,Sinch
844,Skan
845,SmartRecruiters Inc
846,Snorkel AI
847,Snowflake Inc.
848,Snyk
849,So Energy
850,SoFi
851,Softeta
852,Software Mind
853,Sogetrel
854,Sonovate
855,SoundCloud
856,SoundHound Inc.
857,SpaceX
858,SparkCognition
859,SpectraMedix
860,Spectrum Effect
861,Spendesk
862,Sportradar
863,SpotOn
864,Spotify
865,Spree3D
866,Spreedly
867,Spruce
868,Squarespace
869,Srijan Technologies
870,Stability AI
871,StackAdapt
872,Standard AI
873,Standard Bank Group
874,Starschema
875,Statistics & Data Corporation (SDC)
876,Statkraft
877,StockX
878,Stockbit
879,Stream Realty
880,Stripe
881,Strive Health
882,Striveworks
883,StubHub
884,SumUp
885,Sunnova Energy International
886,Supernal
887,Supernova Technology
888,Surprise.com
889,Sustainment
890,Sutherland
891,Sword
892,Sylvera
893,Symbl.ai
894,Synapse
895,Synechron
896,Syngenta Group
897,Synthego
898,"SysLogic, Inc."
899,TAL
900,TEHORA
901,TIKTAL
902,TTEC Digital
903,Tabeo Ltd.
904,Talan
905,TaskRabbit
906,Tavus
907,TeamViewer
908,Technicolor Creative Studios
909,Techstars
910,Tecsa
911,Telesign
912,Tempus
913,Teneo
914,Teramind
915,Terrascope
916,Tesco Bengaluru
917,Tesco Technology
918,Tessian
919,TetraScience
920,Thaloz
921,The Bridge Social
922,The Data Foundry
923,The Data Shed
924,The Fork
925,The HALO Trust
926,The TIE
927,The Telegraph
928,The Very Group
929,The Zebra
930,Theta
931,Thirty Madison
932,ThoughtSpot
933,"ThousandEyes, Inc."
934,Tide
935,Tiendanube
936,Tiger Analytics
937,Together
938,Topaz Labs
939,Tower Research Capital
940,Toyota Research Institute
941,TradingHub
942,Trailmix
943,Trainline
944,Treatwell
945,Tribal Credit
946,Trigo
