,Requirment
2155,97
2156,4
2157,22
2158,13
2159,24
2160,35
2161,36
2162,80
2163,119
2164,189
2165,192
2166,228
2167,16
2168,23
2169,15
2170,35
2171,98
2172,102
2173,24
2174,36
2175,63
2176,92
2177,87
2178,88
2179,16
2180,13
2181,24
2182,86
2183,119
2184,220
2185,43
2186,166
2187,182
2188,256
2189,50
2190,80
2191,107
2192,119
2193,120
2194,166
2195,17
2196,15
2197,50
2198,94
2199,119
2200,138
2201,13
2202,86
2203,123
2204,137
2205,204
2206,221
2207,36
2208,84
2209,80
2210,89
2211,82
2212,107
2213,13
2214,24
2215,63
2216,119
2217,123
2218,160
2219,86
2220,88
2221,90
2222,120
2223,238
2224,261
2225,33
2226,119
2227,192
2228,238
2229,241
2230,249
2231,16
2232,24
2233,15
2234,46
2235,63
2236,98
2237,15
2238,43
2239,84
2240,86
2241,88
2242,83
2243,16
2244,33
2245,84
2246,119
2247,114
2248,123
2249,4
2250,15
2251,35
2252,80
2253,90
2254,116
2255,17
2256,15
2257,31
2258,46
2259,63
2260,79
2261,16
2262,24
2263,15
2264,31
2265,43
2266,63
2267,33
2268,41
2269,43
2270,63
2271,73
2272,81
2273,86
2274,116
2275,123
2276,157
2277,192
2278,232
2279,23
2280,15
2281,31
2282,46
2283,63
2284,98
2285,4
2286,35
2287,80
2288,91
2289,238
2290,241
2291,17
2292,36
2293,80
2294,90
2295,119
2296,130
2297,16
2298,84
2299,88
2300,90
2301,120
2302,234
2303,17
2304,15
2305,33
2306,41
2307,58
2308,63
2309,88
2310,90
2311,238
2312,241
2313,256
2314,266
2315,20
2316,238
2317,241
2318,256
2319,65
2320,86
2321,107
2322,138
2323,256
2324,269
2325,36
2326,46
2327,84
2328,87
2329,88
2330,91
2331,24
2332,112
2333,119
2334,114
2335,229
2336,247
2337,31
2338,58
2339,107
2340,119
2341,130
2342,142
2343,16
2344,24
2345,63
2346,65
2347,50
2348,91
2349,16
2350,17
2351,24
2352,15
2353,35
2354,63
2355,24
2356,31
2357,84
2358,94
2359,85
2360,87
2361,63
2362,131
2363,132
2364,133
2365,152
2366,174
2367,17
2368,13
2369,24
2370,26
2371,30
2372,35
2373,232
2374,269
2375,15
2376,98
2377,119
2378,130
2379,137
2380,138
2381,63
2382,64
2383,97
2384,119
2385,138
2386,134
2387,17
2388,31
2389,46
2390,85
2391,98
2392,107
2393,16
2394,13
2395,24
2396,31
2397,35
2398,43
2399,80
2400,232
2401,269
2402,17
2403,24
2404,15
2405,35
2406,52
2407,91
2408,24
2409,15
2410,35
2411,89
2412,100
2413,119
2414,86
2415,192
2416,256
2417,266
2418,56
2419,63
2420,84
2421,97
2422,119
2423,189
2424,174
2425,189
2426,227
2427,229
2428,248
2429,273
2430,16
2431,24
2432,65
2433,50
2434,80
2435,89
2436,9
2437,63
2438,80
2439,97
2440,119
2441,189
2442,16
2443,12
2444,13
2445,24
2446,15
2447,63
2448,88
2449,189
2450,238
2451,256
2452,269
2453,16
2454,13
2455,24
2456,31
2457,161
2458,173
2459,24
2460,86
2461,250
2462,33
2463,41
2464,63
2465,73
2466,119
2467,123
2468,217
2469,238
2470,248
2471,16
2472,17
2473,26
2474,15
2475,35
2476,63
2477,63
2478,86
2479,88
2480,119
2481,243
2482,13
2483,24
2484,15
2485,46
2486,94
2487,102
2488,16
2489,13
2490,15
2491,31
2492,63
2493,119
2494,4
2495,97
2496,119
2497,148
2498,189
2499,184
2500,24
2501,15
2502,31
2503,35
2504,63
2505,97
2506,63
2507,103
2508,119
2509,228
2510,238
2511,249
2512,17
2513,88
2514,138
2515,162
2516,234
2517,238
2518,16
2519,17
2520,24
2521,15
2522,31
2523,52
2524,16
2525,43
2526,63
2527,65
2528,50
2529,120
2530,13
2531,123
2532,122
2533,182
2534,256
2535,90
2536,120
2537,192
2538,232
2539,248
2540,256
2541,13
2542,24
2543,26
2544,36
2545,63
2546,86
2547,80
2548,227
2549,264
2550,273
2551,17
2552,24
2553,15
2554,86
2555,87
2556,102
2557,24
2558,34
2559,36
2560,43
2561,58
2562,62
2563,16
2564,31
2565,43
2566,88
2567,90
2568,91
2569,22
2570,13
2571,31
2572,33
2573,123
2574,125
2575,35
2576,63
2577,84
2578,136
2579,189
2580,192
2581,16
2582,24
2583,15
2584,36
2585,95
2586,90
2587,15
2588,90
2589,119
2590,114
2591,239
2592,247
2593,13
2594,84
2595,80
2596,232
2597,278
2598,107
2599,238
2600,256
2601,13
2602,41
2603,73
2604,84
2605,80
2606,119
2607,15
2608,31
2609,50
2610,86
2611,81
2612,87
2613,16
2614,43
2615,120
2616,123
2617,232
2618,269
2619,43
2620,119
2621,182
2622,203
2623,238
2624,241
2625,26
2626,29
2627,15
2628,35
2629,46
2630,81
2631,16
2632,43
2633,119
2634,123
2635,168
2636,206
2637,15
2638,98
2639,119
2640,130
2641,137
2642,138
2643,24
2644,55
2645,97
2646,119
2647,120
2648,161
2649,16
2650,13
2651,24
2652,63
2653,86
2654,119
2655,35
2656,43
2657,63
2658,120
2659,189
2660,192
2661,16
2662,24
2663,15
2664,31
2665,43
2666,84
2667,16
2668,13
2669,24
2670,31
2671,161
2672,173
2673,63
2674,116
2675,120
2676,123
2677,192
2678,232
2679,9
2680,63
2681,84
2682,80
2683,97
2684,119
2685,43
2686,80
2687,81
2688,83
2689,119
2690,120
2691,17
2692,33
2693,63
2694,84
2695,87
2696,97
2697,24
2698,15
2699,31
2700,46
2701,86
2702,98
2703,35
2704,43
2705,63
2706,65
2707,81
2708,91
2709,24
2710,84
2711,90
2712,110
2713,232
2714,256
2715,16
2716,13
2717,15
2718,31
2719,63
2720,85
2721,63
2722,84
2723,116
2724,120
2725,192
2726,238
2727,33
2728,42
2729,58
2730,72
2731,84
2732,119
2733,16
2734,13
2735,15
2736,63
2737,85
2738,87
2739,24
2740,43
2741,84
2742,80
2743,85
2744,86
2745,27
2746,63
2747,119
2748,134
2749,189
2750,192
2751,63
2752,80
2753,119
2754,174
2755,189
2756,206
2757,17
2758,112
2759,114
2760,223
2761,229
2762,238
2763,16
2764,24
2765,43
2766,89
2767,123
2768,162
2769,63
2770,84
2771,119
2772,169
2773,189
2774,184
2775,17
2776,13
2777,24
2778,29
2779,35
2780,36
2781,24
2782,97
2783,119
2784,157
2785,219
2786,238
